"cfi","text"
"epubcfi(/6/4!/4/2[pg-header]/6[pg-machine-header]/2)","Title: Romeo and Juliet"
"epubcfi(/6/4!/4/2[pg-header]/6[pg-machine-header]/4[pg-header-authlist]/2)","Author: William Shakespeare"
"epubcfi(/6/4!/4/2[pg-header]/6[pg-machine-header]/6)","Release date: November 1, 1998 [eBook #1513]Most recently updated: June 27, 2023"
"epubcfi(/6/4!/4/2[pg-header]/6[pg-machine-header]/8)","Language: English"
"epubcfi(/6/6!/4/2[pgepubid00001]/8)","ESCALUS, Prince of Verona.MERCUTIO, kinsman to the Prince, and friend to Romeo.PARIS, a young Nobleman, kinsman to the Prince.Page to Paris."
"epubcfi(/6/6!/4/2[pgepubid00001]/10)","MONTAGUE, head of a Veronese family at feud with the Capulets.LADY MONTAGUE, wife to Montague.ROMEO, son to Montague.BENVOLIO, nephew to Montague, and friend to Romeo.ABRAM, servant to Montague.BALTHASAR, servant to Romeo."
"epubcfi(/6/6!/4/2[pgepubid00001]/12)","CAPULET, head of a Veronese family at feud with the Montagues.LADY CAPULET, wife to Capulet.JULIET, daughter to Capulet.TYBALT, nephew to Lady Capulet.CAPULET’S COUSIN, an old man.NURSE to Juliet.PETER, servant to Juliet’s Nurse.SAMPSON, servant to Capulet.GREGORY, servant to Capulet.Servants."
"epubcfi(/6/6!/4/2[pgepubid00001]/14)","FRIAR LAWRENCE, a Franciscan.FRIAR JOHN, of the same Order.An Apothecary.CHORUS.Three Musicians.An Officer.Citizens of Verona; several Men and Women, relations to bothhouses; Maskers, Guards, Watchmen and Attendants."
"epubcfi(/6/8!/4/2[pgepubid00004]/4)","Enter Chorus."
"epubcfi(/6/8!/4/2[pgepubid00004]/6)","CHORUS.Two households, both alike in dignity,In fair Verona, where we lay our scene,From ancient grudge break to new mutiny,Where civil blood makes civil hands unclean.From forth the fatal loins of these two foesA pair of star-cross’d lovers take their life;Whose misadventur’d piteous overthrowsDoth with their death bury their parents’ strife.The fearful passage of their death-mark’d love,And the continuance of their parents’ rage,Which, but their children’s end, nought could remove,Is now the two hours’ traffic of our stage;The which, if you with patient ears attend,What here shall miss, our toil shall strive to mend."
"epubcfi(/6/8!/4/2[pgepubid00004]/8)","[Exit.]"
